Data;Onda_Hs_m;Onda_Tp_s;Onda_Dir_graus;Vento_U_m_s;Vento_V_m_s;Vento_Vel_10m_m_s;Vento_Dir_graus;Corr_U_m_s;Corr_V_m_s;Corr_Vel_m_s;Corr_Dir_graus;Heave_Max_m;Pitch_Max_graus;Roll_Max_graus;Status_ULS;Motivo_ULS;Status_SLS_Geral;Motivo_SLS;SLS_Guindaste;SLS_Helicoptero;SLS_Barco_Apoio;SLS_ROV;SLS_Offloading;SLS_Planta
2015-03-21;1.4;11.64;111.9;-0.58;-3.57;3.62;260.9;-0.05;-0.11;0.12;247.9;0.29;0.01;0.28;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-22;1.48;9.38;141.1;0.77;3.56;3.64;77.8;-0.05;-0.0;0.05;180.4;0.12;0.05;0.18;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-23;2.31;11.91;186.5;-2.34;4.22;4.82;119.1;-0.01;0.03;0.03;120.5;0.45;0.14;0.24;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-24;2.34;12.81;179.5;-1.92;2.58;3.22;126.7;-0.01;0.0;0.01;162.9;0.67;0.12;0.4;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-25;1.78;11.33;166.6;-2.84;1.1;3.04;158.9;-0.05;-0.05;0.07;226.3;0.32;0.1;0.27;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-26;1.44;9.51;143.9;-1.23;-2.94;3.19;247.2;-0.02;-0.08;0.08;258.6;0.12;0.04;0.24;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-27;1.31;8.95;141.2;0.37;1.66;1.7;77.6;-0.03;-0.0;0.03;188.3;0.09;0.03;0.16;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-28;1.77;10.3;165.6;-1.98;2.59;3.26;127.4;-0.03;0.0;0.03;179.9;0.24;0.13;0.2;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-29;2.39;12.22;159.4;-5.51;1.78;5.79;162.1;-0.07;-0.06;0.1;221.1;0.6;0.09;0.52;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-30;2.45;11.89;131.3;-6.65;-2.31;7.04;199.1;-0.11;-0.16;0.19;236.8;0.5;0.03;0.52;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
